key,manual_tier,rating,tier_pin,tier_note,name,pos,team,total,ppg,Bye,Age,PaYds,PaTD,INT,RuAtt,RuYds,RuTD,Tgt,Rec,ReYds,ReTD,Tgt%,Rush%,RZTgt,FGM,FGA,XPM,DefPA,DefSk,DefINT,DefTD,TmYds,TmYdsRk,TmPlays,TmPlaysRk,TmRush,TmRushRk,TmPass,TmPassRk,price
p00-0033293,6,263.1,6,,Aaron Jones,RB,MIN,104.7,8.72,6,31,,,,132,548,2,41,28,199,1,14.1,46.2,5,,,,,,,,5049,28,954,30,1841,23,3208,30,
p00-0037228,6,261.11,6,,Jaylen Warren,RB,PIT,197.1,12.32,9,27,,,,211,958,6,45,40,333,2,9.6,57.8,5,,,,,,,,5388,25,988,28,1756,26,3632,22,
p00-0040242,6,259.12,6,,Jacory Croskey-Merritt,RB,WAS,135.8,7.99,7,25,,,,175,805,8,13,9,68,0,3.0,37.0,1,,,,,,,,5619,23,990,27,2290,4,3329,24,
p00-0035261,6,257.13,6,,Tony Pollard,RB,TEN,169.3,9.96,9,29,,,,242,1082,5,41,33,206,0,7.6,64.3,1,,,,,,,,4830,30,1004,26,1589,30,3241,29,
p00-0039337,6,231.55,6,,Malik Nabers,WR,NYG,48.1,12.03,8,23,,,,,,,35,18,271,2,27.1,0.0,4,,,,,,,,5898,15,1085,8,2195,5,3703,21,
p00-0031408,6,229.92,6,,Mike Evans,WR,SF,69.8,8.73,8,33,,,,,,,62,30,368,3,24.3,0.0,9,,,,,,,,6135,8,1082,10,1817,24,4318,6,
p00-0036613,6,228.28,6,,Jaylen Waddle,WR,DEN,162.1,10.13,10,27,,,,,,,100,64,910,6,23.3,0.4,11,,,,,,,,5949,12,1092,5,2018,16,3931,17,
p00-0037740,6,226.65,6,,Garrett Wilson,WR,NYJ,81.5,11.64,13,26,,,,,,,59,36,395,4,35.4,0.0,5,,,,,,,,4880,29,1010,24,2096,10,2784,32,
pKAC282861,6,175.3,6,,Will Kacmarek,TE,MIA,0.0,0.0,6,,,,,,,,,,,,,,,,,,,,,,5366,26,949,31,2044,13,3322,25,
pRAR148318,6,173.3,6,,Eli Raridon,TE,NE,0.0,0.0,11,,,,,,,,,,,,,,,,,,,,,,6650,4,1044,18,2191,6,4459,4,
p00-0036290,6,171.3,6,,Cole Kmet,TE,CHI,61.7,3.86,10,27,,,,,,,48,30,347,2,9.6,0.0,7,,,,,,,,6442,6,1103,2,2451,3,3991,12,
p00-0039847,6,169.3,6,,Theo Johnson,TE,NYG,105.3,7.02,8,25,,,,,,,74,45,528,5,17.2,0.0,14,,,,,,,,5898,15,1085,8,2195,5,3703,21,
p00-0035710,7,350.18,7,,Daniel Jones,QB,IND,232.4,17.88,13,29,3101,19,8,45,164,5,,,,,,,,,,,,,,,6092,9,1018,20,2007,17,4085,8,
p00-0040743,7,348.18,7,,Tyler Shough,QB,NO,162.0,14.72,8,26,2384,10,6,45,186,3,,,,,,,,,,,,,,,5630,22,1075,11,1603,28,4027,10,
p00-0040676,7,346.18,7,,Cam Ward,QB,TEN,193.7,11.39,9,24,3169,15,7,39,159,2,,,,,,,,,,,,,,,4830,30,1004,26,1589,30,3241,29,
p00-0039150,7,344.18,7,,Bryce Young,QB,CAR,227.0,14.19,5,25,3011,23,11,54,216,2,,,,,,,,,,,,,,,5281,27,1011,22,1977,19,3304,27,
p00-0038128,7,342.18,7,,Malik Willis,QB,MIA,51.2,12.79,6,27,422,3,0,22,123,2,,,,,,,,,,,,,,,5366,26,949,31,2044,13,3322,25,
p00-0036555,7,231.78,7,,Chuba Hubbard,RB,CAR,110.4,7.36,5,27,,,,134,511,1,39,30,223,3,8.8,33.8,6,,,,,,,,5281,27,1011,22,1977,19,3304,27,
p00-0039738,7,229.79,7,,Blake Corum,RB,LA,118.2,6.95,11,25,,,,145,746,6,14,8,36,0,2.3,30.2,1,,,,,,,,6859,2,1086,7,2152,7,4707,2,
p00-0040236,7,227.8,7,,Kyle Monangai,RB,CHI,133.7,7.86,10,24,,,,169,783,5,30,18,164,0,5.7,32.1,3,,,,,,,,6442,6,1103,2,2451,3,3991,12,
p00-0040719,7,225.81,7,,Bhayshul Tuten,RB,JAX,83.6,5.57,7,24,,,,83,307,5,14,10,79,2,3.0,18.8,2,,,,,,,,5982,11,1093,4,1956,20,4026,11,
p00-0040784,7,223.82,7,,Quinshon Judkins,RB,CLE,154.8,11.06,11,22,,,,230,827,7,36,26,171,0,8.3,66.7,1,,,,,,,,4801,31,1030,19,1649,27,3152,31,
p00-0035640,7,210.29,7,,DK Metcalf,WR,PIT,157.7,10.51,9,28,,,,,,,99,59,850,6,22.4,0.4,13,,,,,,,,5388,25,988,28,1756,26,3632,22,
p00-0034827,7,208.65,7,,DJ Moore,WR,BUF,147.2,8.66,7,29,,,,,,,85,50,682,6,16.1,3.0,11,,,,,,,,6695,3,1082,9,2714,1,3981,13,
p00-0037664,7,207.02,7,,Alec Pierce,WR,IND,159.8,10.65,13,26,,,,,,,84,47,1003,6,17.6,0.0,9,,,,,,,,6092,9,1018,20,2007,17,4085,8,
p00-0038117,7,205.38,7,,Wan'Dale Robinson,WR,TEN,171.9,10.74,9,25,,,,,,,140,92,1014,4,30.3,0.6,14,,,,,,,,4830,30,1004,26,1589,30,3241,29,
p00-0039064,7,203.75,7,,Zay Flowers,WR,BAL,200.3,11.78,13,25,,,,,,,118,86,1211,5,29.9,1.9,12,,,,,,,,5940,13,974,29,2662,2,3278,28,
p00-0030565,8,331.41,8,,Geno Smith,QB,NYJ,188.9,12.59,13,35,3025,19,17,41,109,0,,,,,,,,,,,,,,,4880,29,1010,24,2096,10,2784,32,
pALL015451,8,329.41,8,,Drew Allar,QB,PIT,0.0,0.0,9,,,,,,,,,,,,,,,,,,,,,,5388,25,988,28,1756,26,3632,22,
pMEN516487,8,327.41,8,,Fernando Mendoza,QB,LV,0.0,0.0,13,,,,,,,,,,,,,,,,,,,,,,4632,32,948,32,1317,32,3315,26,
p00-0023459,8,325.41,8,,Aaron Rodgers,QB,PIT,231.6,14.47,9,42,3322,24,7,21,61,1,,,,,,,,,,,,,,,5388,25,988,28,1756,26,3632,22,
p00-0036212,8,323.41,8,,Tua Tagovailoa,QB,ATL,173.7,12.41,11,28,2660,20,15,20,43,0,,,,,,,,,,,,,,,5841,17,1048,17,2138,8,3703,20,
pSIM639376,8,321.41,8,,Ty Simpson,QB,LA,0.0,0.0,11,,,,,,,,,,,,,,,,,,,,,,6859,2,1086,7,2152,7,4707,2,
pPRI206342,8,198.46,8,,Jadarian Price,RB,SEA,0.0,0.0,11,,,,,,,,,,,,,,,,,,,,,,6159,7,1015,21,2096,11,4063,9,
p00-0040715,8,196.47,8,,Cam Skattebo,RB,NYG,113.7,14.21,8,24,,,,101,410,5,32,24,207,2,12.9,40.3,4,,,,,,,,5898,15,1085,8,2195,5,3703,21,
p00-0036158,8,194.48,8,,J.K. Dobbins,RB,DEN,110.4,11.04,10,27,,,,153,772,4,14,11,37,0,4.6,57.3,0,,,,,,,,5949,12,1092,5,2018,16,3931,17,
p00-0036919,8,192.49,8,,Kenneth Gainwell,RB,TB,184.8,10.87,10,27,,,,114,537,5,85,73,486,3,16.3,26.6,17,,,,,,,,5702,21,1068,13,1947,21,3755,19,
p00-0036139,8,190.5,8,,Rico Dowdle,RB,PIT,196.8,11.58,9,28,,,,236,1076,6,50,39,297,1,11.0,50.0,5,,,,,,,,5388,25,988,28,1756,26,3632,22,
p00-0036875,8,188.51,8,,Rhamondre Stevenson,RB,NE,158.8,11.34,11,28,,,,130,603,7,37,32,345,2,9.8,32.0,5,,,,,,,,6650,4,1044,18,2191,6,4459,4,
p00-0040735,8,187.39,8,,Luther Burden III,WR,CHI,104.4,6.96,10,22,,,,,,,60,47,652,2,13.1,1.4,4,,,,,,,,6442,6,1103,2,2451,3,3991,12,
p00-0038611,8,186.52,8,,Chris Rodriguez Jr.,RB,JAX,90.5,7.54,7,26,,,,112,500,6,4,3,30,0,1.3,31.2,1,,,,,,,,5982,11,1093,4,1956,20,4026,11,
p00-0034348,8,185.76,8,,Courtland Sutton,WR,DEN,180.7,10.63,10,30,,,,,,,124,74,1017,7,21.1,0.0,20,,,,,,,,5949,12,1092,5,2018,16,3931,17,
p00-0038559,8,184.12,8,,Michael Wilson,WR,ARI,181.6,10.68,14,26,,,,,,,126,78,1006,7,19.2,0.0,17,,,,,,,,5937,14,1074,12,1583,31,4354,5,
p00-0036252,8,182.49,8,,Michael Pittman,WR,PIT,160.4,9.44,9,28,,,,,,,111,80,784,7,20.6,0.0,18,,,,,,,,5388,25,988,28,1756,26,3632,22,
p00-0037261,8,180.85,8,,Khalil Shakir,WR,BUF,130.4,8.15,7,26,,,,,,,95,72,719,4,21.1,0.2,15,,,,,,,,6695,3,1082,9,2714,1,3981,13,
p00-0037240,8,179.22,8,,Jameson Williams,WR,DET,187.4,11.02,6,25,,,,,,,102,65,1117,7,18.6,1.4,9,,,,,,,,6608,5,1063,14,2041,14,4567,3,
p00-0039849,8,177.58,8,,Marvin Harrison Jr.,WR,ARI,105.3,8.78,14,24,,,,,,,73,41,608,4,18.1,0.0,11,,,,,,,,5937,14,1074,12,1583,31,4354,5,
p00-0040129,8,175.95,8,,Emeka Egbuka,WR,TB,162.2,9.54,10,23,,,,,,,127,63,938,6,23.6,0.5,15,,,,,,,,5702,21,1068,13,1947,21,3755,19,
p00-0038124,8,174.31,8,,Christian Watson,WR,GB,114.9,11.49,11,27,,,,,,,55,35,611,6,20.3,0.3,6,,,,,,,,5882,16,1010,23,2037,15,3845,18,
p00-0033921,8,172.68,8,,Chris Godwin Jr.,WR,TB,64.5,7.17,10,30,,,,,,,51,33,360,2,17.9,0.0,8,,,,,,,,5702,21,1068,13,1947,21,3755,19,
p00-0038606,8,171.04,8,,Parker Washington,WR,JAX,143.7,8.98,7,24,,,,,,,95,58,847,5,18.0,1.9,16,,,,,,,,5982,11,1093,4,1956,20,4026,11,
p00-0039916,8,169.41,8,,Ricky Pearsall,WR,SF,70.6,7.84,8,25,,,,,,,53,36,528,0,18.0,0.7,4,,,,,,,,6135,8,1082,10,1817,24,4318,6,
p00-0039919,8,167.77,8,,Rome Odunze,WR,CHI,124.1,10.34,10,24,,,,,,,90,44,661,6,23.6,0.0,13,,,,,,,,6442,6,1103,2,2451,3,3991,12,
p00-0039893,8,166.14,8,,Brian Thomas Jr.,WR,JAX,114.8,8.2,7,23,,,,,,,91,48,707,2,19.3,0.7,7,,,,,,,,5982,11,1093,4,1956,20,4026,11,
p00-0038994,8,164.5,8,,Jordan Addison,WR,MIN,114.1,8.15,6,24,,,,,,,79,42,610,3,18.2,0.5,13,,,,,,,,5049,28,954,30,1841,23,3208,30,
p00-0040667,8,162.87,8,,Matthew Golden,WR,GB,55.5,3.96,11,23,,,,,,,44,29,361,0,12.4,2.1,2,,,,,,,,5882,16,1010,23,2037,15,3845,18,
p00-0038544,8,161.24,8,,Quentin Johnston,WR,LAC,145.7,11.21,7,25,,,,,,,84,51,735,8,20.0,0.6,15,,,,,,,,6020,10,1095,3,2067,12,3953,15,
p00-0039894,8,159.6,8,,Xavier Worthy,WR,KC,88.9,6.35,5,23,,,,,,,73,42,532,1,16.1,3.4,6,,,,,,,,5759,20,1061,15,1812,25,3947,16,
pTAT143045,8,157.97,8,,Carnell Tate,WR,TEN,0.0,0.0,9,,,,,,,,,,,,,,,,,,,,,,4830,30,1004,26,1589,30,3241,29,
p00-0033119,9,310.64,9,,Jacoby Brissett,QB,ARI,233.4,16.67,14,33,3366,23,8,38,168,1,,,,,,,,,,,,,,,5937,14,1074,12,1583,31,4354,5,
p00-0040668,9,308.64,9,,Shedeur Sanders,QB,CLE,94.9,11.86,11,24,1400,7,10,21,169,1,,,,,,,,,,,,,,,4801,31,1030,19,1649,27,3152,31,
p00-0039923,9,306.64,9,,J.J. McCarthy,QB,MIN,135.4,13.54,6,23,1632,11,12,37,181,4,,,,,,,,,,,,,,,5049,28,954,30,1841,23,3208,30,
p00-0040234,9,304.64,9,,Quinn Ewers,QB,MIA,35.7,8.92,6,23,622,3,3,8,19,0,,,,,,,,,,,,,,,5366,26,949,31,2044,13,3322,25,
pBeckCa01,9,302.64,9,,Carson Beck,QB,ARI,0.0,0.0,14,,,,,,,,,,,,,,,,,,,,,,5937,14,1074,12,1583,31,4354,5,
p00-0038555,9,161.16,9,,Tank Bigsby,RB,PHI,52.3,3.49,10,24,,,,63,356,2,4,3,32,0,1.2,14.4,1,,,,,,,,5486,24,1010,25,1988,18,3498,23,
p00-0038454,9,159.17,9,,Keaton Mitchell,RB,LAC,50.9,3.92,7,24,,,,59,341,1,12,9,63,0,4.2,14.3,0,,,,,,,,6020,10,1095,3,2067,12,3953,15,
p00-0039032,9,157.18,9,,Tyjae Spears,RB,TEN,89.2,6.86,9,25,,,,72,283,2,50,45,264,0,12.3,24.9,7,,,,,,,,4830,30,1004,26,1589,30,3241,29,
p00-0037197,9,155.19,9,,Isiah Pacheco,RB,DET,77.8,5.98,6,27,,,,118,462,1,26,19,101,1,6.8,36.3,4,,,,,,,,6608,5,1063,14,2041,14,4567,3,
p00-0039165,9,153.2,9,,Zach Charbonnet,RB,SEA,169.4,10.59,11,25,,,,184,730,12,24,20,144,0,5.2,38.8,3,,,,,,,,6159,7,1015,21,2096,11,4063,9,
p00-0037525,9,151.21,9,,Jordan Mason,RB,MIN,121.9,7.62,6,27,,,,159,758,6,16,14,51,0,3.5,42.2,1,,,,,,,,5049,28,954,30,1841,23,3208,30,
p00-0033906,9,149.22,9,,Alvin Kamara,RB,NO,84.2,7.65,8,31,,,,131,471,1,39,33,186,0,11.7,47.2,5,,,,,,,,5630,22,1075,11,1603,28,4027,10,
p00-0039146,9,141.61,9,,Jayden Reed,WR,GB,39.0,7.8,11,26,,,,,,,22,19,207,1,17.1,2.0,4,,,,,,,,5882,16,1010,23,2037,15,3845,18,
p00-0037545,9,139.97,9,,Rashid Shaheed,WR,SEA,115.1,6.39,11,28,,,,,,,92,59,687,2,16.2,1.7,9,,,,,,,,6159,7,1015,21,2096,11,4063,9,
pStriDe01,9,138.34,9,,De'Zhaun Stribling,WR,SF,0.0,0.0,8,,,,,,,,,,,,,,,,,,,,,,6135,8,1082,10,1817,24,4318,6,
p00-0038997,9,136.7,9,,Josh Downs,WR,IND,109.4,6.84,13,25,,,,,,,88,58,566,4,17.5,0.5,15,,,,,,,,6092,9,1018,20,2007,17,4085,8,
pTYS405541,9,135.07,9,,Jordyn Tyson,WR,NO,0.0,0.0,8,,,,,,,,,,,,,,,,,,,,,,5630,22,1075,11,1603,28,4027,10,
p00-0037816,9,133.43,9,,Romeo Doubs,WR,NE,135.9,8.49,11,26,,,,,,,85,55,724,6,18.9,0.0,18,,,,,,,,6650,4,1044,18,2191,6,4459,4,
p00-0033908,9,131.8,9,,Cooper Kupp,WR,SEA,91.8,5.74,11,33,,,,,,,70,47,593,2,16.0,0.0,13,,,,,,,,6159,7,1015,21,2096,11,4063,9,
p00-0034960,9,130.16,9,,Jakobi Meyers,WR,JAX,138.3,8.64,7,29,,,,,,,110,75,835,3,22.9,1.0,15,,,,,,,,5982,11,1093,4,1956,20,4026,11,
p00-0039391,10,123.87,10,,Kimani Vidal,RB,LAC,109.9,8.45,7,25,,,,155,643,3,22,16,136,1,5.4,39.6,6,,,,,,,,6020,10,1095,3,2067,12,3953,15,
pCOO816508,10,113.8,10,,Omar Cooper Jr.,WR,NYJ,0.0,0.0,13,,,,,,,,,,,,,,,,,,,,,,4880,29,1010,24,2096,10,2784,32,
p00-0040170,10,112.17,10,,Elic Ayomanor,WR,TEN,96.0,6.0,9,23,,,,,,,89,41,515,4,18.5,0.0,8,,,,,,,,4830,30,1004,26,1589,30,3241,29,
pTHO417520,10,110.53,10,,Zavion Thomas,WR,CHI,0.0,0.0,10,,,,,,,,,,,,,,,,,,,,,,6442,6,1103,2,2451,3,3991,12,
pBEL267684,10,108.9,10,,Chris Bell,WR,MIA,0.0,0.0,6,,,,,,,,,,,,,,,,,,,,,,5366,26,949,31,2044,13,3322,25,
pCON046719,10,107.27,10,,KC Concepcion,WR,CLE,0.0,0.0,11,,,,,,,,,,,,,,,,,,,,,,4801,31,1030,19,1649,27,3152,31,
p00-0034837,10,105.63,10,,Calvin Ridley,WR,TEN,38.8,5.54,9,31,,,,,,,36,17,303,0,16.8,0.0,2,,,,,,,,4830,30,1004,26,1589,30,3241,29,
pLEM694125,10,104.0,10,,Makai Lemon,WR,PHI,0.0,0.0,10,,,,,,,,,,,,,,,,,,,,,,5486,24,1010,25,1988,18,3498,23,
p00-0040237,10,102.36,10,,Tez Johnson,WR,TB,78.4,5.23,10,24,,,,,,,44,28,322,5,9.2,1.4,7,,,,,,,,5702,21,1068,13,1947,21,3755,19,
pBOS677861,10,100.73,10,,Denzel Boston,WR,CLE,0.0,0.0,11,,,,,,,,,,,,,,,,,,,,,,4801,31,1030,19,1649,27,3152,31,
pHUR541377,10,99.09,10,,Ted Hurst,WR,TB,0.0,0.0,10,,,,,,,,,,,,,,,,,,,,,,5702,21,1068,13,1947,21,3755,19,
pWIL143106,10,97.46,10,,Antonio Williams,WR,WAS,0.0,0.0,7,,,,,,,,,,,,,,,,,,,,,,5619,23,990,27,2290,4,3329,24,
pDOU210628,10,95.82,10,,Caleb Douglas,WR,MIA,0.0,0.0,6,,,,,,,,,,,,,,,,,,,,,,5366,26,949,31,2044,13,3322,25,
pLAN311008,10,94.19,10,,Ja'Kobi Lane,WR,BAL,0.0,0.0,13,,,,,,,,,,,,,,,,,,,,,,5940,13,974,29,2662,2,3278,28,
p00-0033375,10,92.55,10,,Tim Patrick,WR,NYJ,44.2,3.4,13,32,,,,,,,24,15,187,3,6.2,0.0,9,,,,,,,,4880,29,1010,24,2096,10,2784,32,
p00-0038621,10,90.92,10,,DeMario Douglas,WR,NE,80.3,5.02,11,25,,,,,,,46,31,447,3,9.8,1.6,7,,,,,,,,6650,4,1044,18,2191,6,4459,4,
p00-0040727,10,89.28,10,,Tre Harris,WR,LAC,54.4,3.4,7,24,,,,,,,43,30,324,1,9.1,0.4,5,,,,,,,,6020,10,1095,3,2067,12,3953,15,
pBRA531428,10,87.65,10,,Zachariah Branch,WR,ATL,0.0,0.0,11,,,,,,,,,,,,,,,,,,,,,,5841,17,1048,17,2138,8,3703,20,
p00-0039868,10,86.02,10,,Troy Franklin,WR,DEN,138.6,8.15,10,23,,,,,,,104,65,709,6,18.2,1.2,21,,,,,,,,5949,12,1092,5,2018,16,3931,17,
pFIE775129,10,84.38,10,,Malachi Fields,WR,NYG,0.0,0.0,8,,,,,,,,,,,,,,,,,,,,,,5898,15,1085,8,2195,5,3703,21,
p00-0038977,10,82.75,10,,Tank Dell,WR,HOU,0.0,0.0,8,26,,,,,,,,,,,,,,,,,,,,,5808,19,1088,6,1852,22,3956,14,
p00-0036407,10,81.11,10,,Jerry Jeudy,WR,CLE,95.7,5.63,11,27,,,,,,,106,50,602,2,20.5,0.2,9,,,,,,,,4801,31,1030,19,1649,27,3152,31,
p00-0038563,10,79.48,10,,Tre Tucker,WR,LV,133.2,7.84,13,25,,,,,,,92,57,696,5,19.0,2.6,10,,,,,,,,4632,32,948,32,1317,32,3315,26,
pBER218265,10,77.84,10,,Germie Bernard,WR,PIT,0.0,0.0,9,,,,,,,,,,,,,,,,,,,,,,5388,25,988,28,1756,26,3632,22,
p00-0040130,10,76.21,10,,Jayden Higgins,WR,HOU,109.0,6.41,8,23,,,,,,,68,41,525,6,12.4,0.0,9,,,,,,,,5808,19,1088,6,1852,22,3956,14,
p00-0037263,11,98.51,11,,Tyler Allgeier,RB,ARI,116.0,6.82,14,26,,,,143,514,8,16,14,96,0,3.2,27.8,1,,,,,,,,5937,14,1074,12,1583,31,4354,5,
p00-0039384,11,96.52,11,,Tyrone Tracy Jr.,RB,NYG,142.8,9.52,8,26,,,,176,740,2,48,36,288,2,10.8,39.6,5,,,,,,,,5898,15,1085,8,2195,5,3703,21,
p00-0040583,11,94.53,11,,Woody Marks,RB,HOU,133.1,8.32,8,25,,,,196,703,2,36,24,208,3,6.8,44.1,8,,,,,,,,5808,19,1088,6,1852,22,3956,14,
p00-0033553,11,92.54,11,,James Conner,RB,ARI,29.3,9.77,14,31,,,,32,95,1,9,8,38,1,9.9,42.2,1,,,,,,,,5937,14,1074,12,1583,31,4354,5,
p00-0037256,11,90.55,11,,Rachaad White,RB,WAS,123.0,7.24,7,27,,,,132,572,4,45,40,218,0,8.3,30.2,10,,,,,,,,5619,23,990,27,2290,4,3329,24,
p00-0038636,11,88.56,11,,Kenny McIntosh,RB,SEA,0.0,0.0,11,26,,,,,,,,,,,,,,,,,,,,,6159,7,1015,21,2096,11,4063,9,
p00-0040162,11,86.57,11,,Dylan Sampson,RB,CLE,71.1,4.74,11,21,,,,65,175,0,40,33,271,2,8.7,18.0,6,,,,,,,,4801,31,1030,19,1649,27,3152,31,
p00-0039875,11,84.58,11,,Ray Davis,RB,BUF,53.1,3.12,7,26,,,,58,275,0,13,10,86,2,2.8,8.8,5,,,,,,,,6695,3,1082,9,2714,1,3981,13,
p00-0037267,11,82.59,11,,Jerome Ford,RB,WAS,30.6,2.35,7,26,,,,24,73,0,32,26,103,0,7.3,7.5,6,,,,,,,,5619,23,990,27,2290,4,3329,24,
p00-0035250,11,80.6,11,,Devin Singletary,RB,NYG,97.8,5.75,8,29,,,,119,437,5,19,18,151,0,4.0,22.9,2,,,,,,,,5898,15,1085,8,2195,5,3703,21,
p00-0033526,11,78.61,11,,Samaje Perine,RB,CIN,69.4,4.63,6,30,,,,84,382,3,21,17,87,0,4.1,23.6,1,,,,,,,,5835,18,1057,16,1591,29,4244,7,
p00-0038797,11,76.62,11,,Emanuel Wilson,RB,SEA,85.0,5.0,11,27,,,,125,496,3,17,15,99,0,3.7,23.6,3,,,,,,,,6159,7,1015,21,2096,11,4063,9,
p00-0039798,11,74.63,11,,Isaiah Davis,RB,NYJ,58.7,3.67,13,24,,,,43,236,1,28,21,186,0,6.3,9.6,2,,,,,,,,4880,29,1010,24,2096,10,2784,32,
p00-0040198,11,72.64,11,,Ollie Gordon II,RB,MIA,50.6,2.98,6,22,,,,70,199,3,9,7,32,1,1.8,16.2,2,,,,,,,,5366,26,949,31,2044,13,3322,25,
p00-0036265,11,70.65,11,,AJ Dillon,RB,CAR,7.6,1.27,5,28,,,,12,60,0,3,3,21,0,1.5,8.2,1,,,,,,,,5281,27,1011,22,1977,19,3304,27,
p00-0038098,11,68.66,11,,Pierre Strong,RB,GB,0.0,0.0,11,27,,,,,,,,,,,,,,,,,,,,,5882,16,1010,23,2037,15,3845,18,
p00-0038705,11,66.67,11,,Emari Demercado,RB,KC,51.8,4.32,5,27,,,,44,312,0,20,13,101,1,4.3,17.8,4,,,,,,,,5759,20,1061,15,1812,25,3947,16,
p00-0035537,11,64.68,11,,Ty Johnson,RB,BUF,88.3,5.19,7,28,,,,50,200,3,33,24,263,2,6.8,8.7,4,,,,,,,,6695,3,1082,9,2714,1,3981,13,
p00-0029892,11,62.69,11,,Kyle Juszczyk,RB,SF,45.0,2.81,8,35,,,,2,-3,0,28,24,213,2,5.5,0.3,5,,,,,,,,6135,8,1082,10,1817,24,4318,6,
p00-0037157,11,60.7,11,,Bam Knight,RB,ARI,81.9,6.83,14,25,,,,82,269,4,31,22,160,1,6.3,31.9,6,,,,,,,,5937,14,1074,12,1583,31,4354,5,
p00-0032464,11,59.85,11,,Kalif Raymond,WR,CHI,48.8,3.25,10,32,,,,,,,30,24,289,1,6.0,0.4,2,,,,,,,,6442,6,1103,2,2451,3,3991,12,
p00-0038951,11,58.71,11,,Sean Tucker,RB,TB,87.4,5.14,10,24,,,,86,320,7,11,8,34,1,1.9,17.7,3,,,,,,,,5702,21,1068,13,1947,21,3755,19,
p00-0038979,11,58.21,11,,Cedric Tillman,WR,CLE,49.5,4.12,11,26,,,,,,,39,21,270,2,10.5,0.0,4,,,,,,,,4801,31,1030,19,1649,27,3152,31,
p00-0037563,11,56.72,11,,Malik Davis,RB,DAL,39.6,3.96,14,27,,,,52,250,2,5,2,16,0,1.4,16.6,0,,,,,,,,6871,1,1120,1,2136,9,4735,1,
p00-0036309,11,56.58,11,,Darnell Mooney,WR,NYG,66.3,4.42,8,28,,,,,,,72,32,443,1,16.2,0.0,8,,,,,,,,5898,15,1085,8,2195,5,3703,21,
p00-0036415,11,54.94,11,,Van Jefferson,WR,WAS,55.5,3.96,7,30,,,,,,,52,29,350,1,12.0,0.0,3,,,,,,,,5619,23,990,27,2290,4,3329,24,
p00-0040179,11,54.73,11,,DJ Giddens,RB,IND,9.6,1.92,13,23,,,,26,96,0,2,0,0,0,1.3,16.4,1,,,,,,,,6092,9,1018,20,2007,17,4085,8,
p00-0039901,11,53.31,11,,Keon Coleman,WR,BUF,81.4,6.78,7,23,,,,,,,59,38,404,4,16.7,0.0,12,,,,,,,,6695,3,1082,9,2714,1,3981,13,
p00-0039407,11,52.74,11,,Dylan Laube,RB,LV,4.2,0.25,13,26,,,,7,9,0,4,3,18,0,0.8,2.6,0,,,,,,,,4632,32,948,32,1317,32,3315,26,
p00-0037741,11,51.67,11,,Jahan Dotson,WR,ATL,41.2,2.75,11,26,,,,,,,36,18,262,1,8.3,0.0,5,,,,,,,,5841,17,1048,17,2138,8,3703,20,
p00-0038738,11,50.75,11,,Hunter Luepke,RB,DAL,30.5,2.18,14,26,,,,16,71,0,15,13,109,1,3.3,3.4,4,,,,,,,,6871,1,1120,1,2136,9,4735,1,
p00-0040705,11,50.04,11,,Chimere Dike,WR,TEN,92.1,5.42,9,24,,,,,,,74,48,423,4,13.9,3.2,14,,,,,,,,4830,30,1004,26,1589,30,3241,29,
p00-0037509,11,48.76,11,,Sincere McCormick,RB,SF,0.0,0.0,8,25,,,,,,,,,,,,,,,,,,,,,6135,8,1082,10,1817,24,4318,6,
p00-0036550,11,48.4,11,,Rashod Bateman,WR,BAL,43.9,3.38,13,26,,,,,,,38,19,224,2,11.9,0.0,9,,,,,,,,5940,13,974,29,2662,2,3278,28,
p00-0036755,11,46.77,11,,Jaret Patterson,RB,LAC,24.2,4.03,7,26,,,,41,159,1,4,3,8,0,1.8,21.2,0,,,,,,,,6020,10,1095,3,2067,12,3953,15,
p00-0037291,11,46.77,11,,Jalen Nailor,WR,LV,84.2,4.95,13,27,,,,,,,53,29,444,4,11.7,0.5,13,,,,,,,,4632,32,948,32,1317,32,3315,26,
p00-0039491,11,45.14,11,,Jalen Coker,WR,CAR,71.9,6.54,5,24,,,,,,,43,33,394,3,15.4,0.0,5,,,,,,,,5281,27,1011,22,1977,19,3304,27,
p00-0039405,11,44.78,11,,Jawhar Jordan,RB,HOU,26.2,6.55,8,27,,,,43,193,0,7,7,34,0,5.6,35.6,0,,,,,,,,5808,19,1088,6,1852,22,3956,14,
p00-0035662,11,43.5,11,,Marquise Brown,WR,PHI,113.2,7.08,10,29,,,,,,,74,49,587,5,14.2,0.0,10,,,,,,,,5486,24,1010,25,1988,18,3498,23,
p00-0035973,11,42.79,11,,Patrick Taylor,RB,SF,0.0,0.0,8,28,,,,,,,,,,,,,,,,,,,,,6135,8,1082,10,1817,24,4318,6,
p00-0038393,11,41.87,11,,Dontayvion Wicks,WR,PHI,60.8,4.68,10,25,,,,,,,46,30,332,2,12.8,0.3,4,,,,,,,,5486,24,1010,25,1988,18,3498,23,
p00-0038685,11,40.8,11,,Chris Brooks,RB,GB,26.2,1.54,11,26,,,,27,106,0,17,13,91,0,3.6,4.7,3,,,,,,,,5882,16,1010,23,2037,15,3845,18,
p00-0038608,11,40.23,11,,Kayshon Boutte,WR,NE,107.6,7.69,11,24,,,,,,,46,33,551,6,12.0,0.0,4,,,,,,,,6650,4,1044,18,2191,6,4459,4,
