key,manual_tier,name,pos,team,total,ppg,Bye,Age,PaYds,PaTD,INT,RuAtt,RuYds,RuTD,Tgt,Rec,ReYds,ReTD,Tgt%,RZTgt,FGM,FGA,XPM,DefPA,DefSk,DefINT,DefTD,TmYds,TmYdsRk,TmPlays,TmPlaysRk,TmRush,TmRushRk,TmPass,TmPassRk,price
p00-0036275,4,D'Andre Swift,RB,CHI,211.6,13.22,10,27,,,,223,1087,9,48,34,299,1,9.4,1,,,,,,,,6442,6,1103,2,2451,3,3991,12,
p00-0037228,4,Jaylen Warren,RB,PIT,197.1,12.32,9,27,,,,211,958,6,45,40,333,2,9.6,5,,,,,,,,5388,25,988,28,1756,26,3632,22,
p00-0039361,4,Bucky Irving,RB,TB,123.5,12.35,10,24,,,,173,588,1,35,30,277,3,10.7,4,,,,,,,,5702,21,1068,13,1947,21,3755,19,
p00-0040730,4,RJ Harvey,RB,DEN,183.1,10.77,10,25,,,,146,540,7,58,47,356,5,10.2,11,,,,,,,,5949,12,1092,5,2018,16,3931,17,
p00-0036997,4,Javonte Williams,RB,DAL,225.3,14.08,14,26,,,,252,1201,11,51,35,137,2,8.6,12,,,,,,,,6871,1,1120,1,2136,9,4735,1,
p00-0040784,5,Quinshon Judkins,RB,CLE,154.8,11.06,11,22,,,,230,827,7,36,26,171,0,8.3,1,,,,,,,,4801,31,1030,19,1649,27,3152,31,
p00-0035685,5,David Montgomery,RB,HOU,152.9,9.0,8,29,,,,158,716,8,29,24,192,0,5.4,2,,,,,,,,5808,19,1088,6,1852,22,3956,14,
p00-0037256,5,Rachaad White,RB,WAS,123.0,7.24,7,27,,,,132,572,4,45,40,218,0,8.3,10,,,,,,,,5619,23,990,27,2290,4,3329,24,
p00-0040236,5,Kyle Monangai,RB,CHI,133.7,7.86,10,24,,,,169,783,5,30,18,164,0,5.7,3,,,,,,,,6442,6,1103,2,2451,3,3991,12,
p00-0033293,5,Aaron Jones,RB,MIN,104.7,8.72,6,31,,,,132,548,2,41,28,199,1,14.1,5,,,,,,,,5049,28,954,30,1841,23,3208,30,
p00-0040666,5,Omarion Hampton,RB,LAC,119.7,13.3,7,23,,,,124,545,4,35,32,192,1,11.8,2,,,,,,,,6020,10,1095,3,2067,12,3953,15,
p00-0036555,5,Chuba Hubbard,RB,CAR,110.4,7.36,5,27,,,,134,511,1,39,30,223,3,8.8,6,,,,,,,,5281,27,1011,22,1977,19,3304,27,
p00-0039165,5,Zach Charbonnet,RB,SEA,169.4,10.59,11,25,,,,184,730,12,24,20,144,0,5.2,3,,,,,,,,6159,7,1015,21,2096,11,4063,9,
p00-0036139,5,Rico Dowdle,RB,PIT,196.8,11.58,9,28,,,,236,1076,6,50,39,297,1,11.0,5,,,,,,,,5388,25,988,28,1756,26,3632,22,
p00-0036875,6,Rhamondre Stevenson,RB,NE,158.8,11.34,11,28,,,,130,603,7,37,32,345,2,9.8,5,,,,,,,,6650,4,1044,18,2191,6,4459,4,
p00-0036158,6,J.K. Dobbins,RB,DEN,110.4,11.04,10,27,,,,153,772,4,14,11,37,0,4.6,0,,,,,,,,5949,12,1092,5,2018,16,3931,17,
p00-0036919,6,Kenneth Gainwell,RB,TB,184.8,10.87,10,27,,,,114,537,5,85,73,486,3,16.3,17,,,,,,,,5702,21,1068,13,1947,21,3755,19,
p00-0040242,6,Jacory Croskey-Merritt,RB,WAS,135.8,7.99,7,25,,,,175,805,8,13,9,68,0,3.0,1,,,,,,,,5619,23,990,27,2290,4,3329,24,
p00-0040719,6,Bhayshul Tuten,RB,JAX,83.6,5.57,7,24,,,,83,307,5,14,10,79,2,3.0,2,,,,,,,,5982,11,1093,4,1956,20,4026,11,
p00-0033906,6,Alvin Kamara,RB,NO,84.2,7.65,8,31,,,,131,471,1,39,33,186,0,11.7,5,,,,,,,,5630,22,1075,11,1603,28,4027,10,
pBLA097235,7,Kaelon Black,RB,SF,0.0,0.0,8,,,,,,,,,,,,,,,,,,,,,6135,8,1082,10,1817,24,4318,6,
p00-0037525,7,Jordan Mason,RB,MIN,121.9,7.62,6,27,,,,159,758,6,16,14,51,0,3.5,1,,,,,,,,5049,28,954,30,1841,23,3208,30,
p00-0039384,7,Tyrone Tracy Jr.,RB,NYG,142.8,9.52,8,26,,,,176,740,2,48,36,288,2,10.8,5,,,,,,,,5898,15,1085,8,2195,5,3703,21,
p00-0040715,7,Cam Skattebo,RB,NYG,113.7,14.21,8,24,,,,101,410,5,32,24,207,2,12.9,4,,,,,,,,5898,15,1085,8,2195,5,3703,21,
p00-0040583,7,Woody Marks,RB,HOU,133.1,8.32,8,25,,,,196,703,2,36,24,208,3,6.8,8,,,,,,,,5808,19,1088,6,1852,22,3956,14,
p00-0033553,7,James Conner,RB,ARI,29.3,9.77,14,31,,,,32,95,1,9,8,38,1,9.9,1,,,,,,,,5937,14,1074,12,1583,31,4354,5,
p00-0037197,7,Isiah Pacheco,RB,DET,77.8,5.98,6,27,,,,118,462,1,26,19,101,1,6.8,4,,,,,,,,6608,5,1063,14,2041,14,4567,3,
p00-0037746,7,Brian Robinson,RB,ATL,58.5,3.44,11,27,,,,92,400,2,12,8,25,0,2.1,4,,,,,,,,5841,17,1048,17,2138,8,3703,20,
p00-0039032,8,Tyjae Spears,RB,TEN,89.2,6.86,9,25,,,,72,283,2,50,45,264,0,12.3,7,,,,,,,,4830,30,1004,26,1589,30,3241,29,
p00-0037263,8,Tyler Allgeier,RB,ARI,116.0,6.82,14,26,,,,143,514,8,16,14,96,0,3.2,1,,,,,,,,5937,14,1074,12,1583,31,4354,5,
p00-0037267,8,Jerome Ford,RB,WAS,30.6,2.35,7,26,,,,24,73,0,32,26,103,0,7.3,6,,,,,,,,5619,23,990,27,2290,4,3329,24,
p00-0035250,8,Devin Singletary,RB,NYG,97.8,5.75,8,29,,,,119,437,5,19,18,151,0,4.0,2,,,,,,,,5898,15,1085,8,2195,5,3703,21,
p00-0036900,1,Ja'Marr Chase,WR,CIN,251.1,15.69,6,26,,,,,,,185,125,1412,8,32.1,22,,,,,,,,5835,18,1057,16,1591,29,4244,7,80.0
p00-0036963,2,Amon-Ra St. Brown,WR,DET,265.5,15.62,6,26,,,,,,,172,117,1401,11,31.7,35,,,,,,,,6608,5,1063,14,2041,14,4567,3,
p00-0039075,2,Puka Nacua,WR,LA,310.5,19.41,11,25,,,,,,,166,129,1715,10,30.1,17,,,,,,,,6859,2,1086,7,2152,7,4707,2,
p00-0038543,2,Jaxon Smith-Njigba,WR,SEA,300.4,17.67,11,24,,,,,,,163,119,1793,10,36.8,17,,,,,,,,6159,7,1015,21,2096,11,4063,9,
p00-0036358,3,CeeDee Lamb,WR,DAL,163.4,12.57,14,27,,,,,,,117,75,1077,3,25.1,17,,,,,,,,6871,1,1120,1,2136,9,4735,1,
