key,manual_tier,name,pos,total,ppg,PaYds,PaTD,INT,RuAtt,RuYds,RuTD,Tgt,Rec,ReYds,ReTD,FGM,FGA,XPM,DefPA,DefSk,DefINT,DefTD,TmYds,TmYdsRk,TmPlays,TmPlaysRk,TmRush,TmRushRk,TmPass,TmPassRk,price
p4081,7,Jordan Mason,RB,121.9,7.62,,,,159,758,6,16,14,51,0,,,,,,,,5049,28,954,30,1841,23,3208,30,
p5205,7,Tyrone Tracy Jr.,RB,142.8,9.52,,,,176,740,2,48,36,288,2,,,,,,,,5898,15,1085,8,2195,5,3703,21,
p6401,7,Cam Skattebo,RB,113.7,14.21,,,,101,410,5,32,24,207,2,,,,,,,,5898,15,1085,8,2195,5,3703,21,
p6287,7,Woody Marks,RB,133.1,8.32,,,,196,703,2,36,24,208,3,,,,,,,,5808,19,1088,6,1852,22,3956,14,
p1313,7,James Conner,RB,29.3,9.77,,,,32,95,1,9,8,38,1,,,,,,,,,,,,,,,,
p3767,7,Isiah Pacheco,RB,77.8,5.98,,,,118,462,1,26,19,101,1,,,,,,,,6608,5,1063,14,2041,14,4567,3,
p4220,7,Brian Robinson,RB,58.5,3.44,,,,92,400,2,12,8,25,0,,,,,,,,5841,17,1048,17,2138,8,3703,20,
p4952,8,Tyjae Spears,RB,89.2,6.86,,,,72,283,2,50,45,264,0,,,,,,,,4830,30,1004,26,1589,30,3241,29,
p3830,8,Tyler Allgeier,RB,116.0,6.82,,,,143,514,8,16,14,96,0,,,,,,,,,,,,,,,,
p3834,8,Jerome Ford,RB,30.6,2.35,,,,24,73,0,32,26,103,0,,,,,,,,5619,23,990,27,2290,4,3329,24,
p2146,8,Devin Singletary,RB,97.8,5.75,,,,119,437,5,19,18,151,0,,,,,,,,5898,15,1085,8,2195,5,3703,21,
p3487,1,Ja'Marr Chase,WR,251.1,15.69,,,,3,14,0,185,125,1412,8,,,,,,,,5835,18,1057,16,1591,29,4244,7,80.0
p3547,1,Amon-Ra St. Brown,WR,265.5,15.62,,,,3,9,0,172,117,1401,11,,,,,,,,6608,5,1063,14,2041,14,4567,3,
p4986,1,Puka Nacua,WR,310.5,19.41,,,,10,105,1,166,129,1715,10,,,,,,,,6859,2,1086,7,2152,7,4707,2,
p4521,1,Jaxon Smith-Njigba,WR,300.4,17.67,,,,7,36,0,163,119,1793,10,,,,,,,,6159,7,1015,21,2096,11,4063,9,
p2968,2,CeeDee Lamb,WR,163.4,12.57,,,,1,2,0,117,75,1077,3,,,,,,,,6871,1,1120,1,2136,9,4735,1,
p640,2,Davante Adams,WR,192.9,13.78,,,,0,0,0,114,60,789,14,,,,,,,,6859,2,1086,7,2152,7,4707,2,
p2932,2,Justin Jefferson,WR,159.5,9.38,,,,2,7,0,141,84,1048,2,,,,,,,,5049,28,954,30,1841,23,3208,30,
p3814,2,George Pickens,WR,243.4,14.32,,,,0,0,0,137,93,1429,9,,,,,,,,6871,1,1120,1,2136,9,4735,1,
p6468,2,Carnell Tate,WR,0.0,0.0,,,,,,,,,,,,,,,,,,4830,30,1004,26,1589,30,3241,29,
p6469,2,Jordyn Tyson,WR,0.0,0.0,,,,,,,,,,,,,,,,,,5630,22,1075,11,1603,28,4027,10,
p6472,2,Makai Lemon,WR,0.0,0.0,,,,,,,,,,,,,,,,,,5486,24,1010,25,1988,18,3498,23,
p6473,2,KC Concepcion,WR,0.0,0.0,,,,,,,,,,,,,,,,,,4801,31,1030,19,1649,27,3152,31,
p6474,2,Omar Cooper Jr.,WR,0.0,0.0,,,,,,,,,,,,,,,,,,4880,29,1010,24,2096,10,2784,32,
p2421,2,A.J. Brown,WR,181.3,12.09,,,,0,0,0,121,78,1003,7,,,,,,,,6650,4,1044,18,2191,6,4459,4,
p3191,2,Nico Collins,WR,188.7,12.58,,,,2,15,1,120,71,1117,6,,,,,,,,5808,19,1088,6,1852,22,3956,14,
p4977,2,Zay Flowers,WR,200.3,11.78,,,,10,62,1,118,86,1211,5,,,,,,,,5940,13,974,29,2662,2,3278,28,
p1661,3,Courtland Sutton,WR,180.7,10.63,,,,0,0,0,124,74,1017,7,,,,,,,,5949,12,1092,5,2018,16,3931,17,
p3805,3,Drake London,WR,165.9,13.83,,,,0,0,0,112,68,919,7,,,,,,,,5841,17,1048,17,2138,8,3703,20,
p5871,3,Tetairoa McMillan,WR,178.4,10.49,,,,0,0,0,122,70,1014,7,,,,,,,,5281,27,1011,22,1977,19,3304,27,
p1924,3,DJ Moore,WR,147.2,8.66,,,,15,79,1,85,50,682,6,,,,,,,,6695,3,1082,9,2714,1,3981,13,
p3020,3,Tee Higgins,WR,180.1,12.01,,,,0,0,0,98,59,846,11,,,,,,,,5835,18,1057,16,1591,29,4244,7,
p3499,3,DeVonta Smith,WR,163.3,9.61,,,,0,0,0,113,77,1008,4,,,,,,,,5486,24,1010,25,1988,18,3498,23,
p5723,3,Ladd McConkey,WR,147.9,9.24,,,,0,0,0,106,66,789,6,,,,,,,,6020,10,1095,3,2067,12,3953,15,
p6476,3,De'Zhaun Stribling,WR,0.0,0.0,,,,,,,,,,,,,,,,,,6135,8,1082,10,1817,24,4318,6,
p6477,3,Denzel Boston,WR,0.0,0.0,,,,,,,,,,,,,,,,,,4801,31,1030,19,1649,27,3152,31,
p6478,3,Germie Bernard,WR,0.0,0.0,,,,,,,,,,,,,,,,,,5388,25,988,28,1756,26,3632,22,
p3807,4,Jameson Williams,WR,187.4,11.02,,,,6,12,0,102,65,1117,7,,,,,,,,6608,5,1063,14,2041,14,4567,3,
p2390,4,DK Metcalf,WR,157.7,10.51,,,,2,12,1,99,59,850,6,,,,,,,,5388,25,988,28,1756,26,3632,22,
p5701,4,Brian Thomas Jr.,WR,114.8,8.2,,,,3,21,1,91,48,707,2,,,,,,,,5982,11,1093,4,1956,20,4026,11,
p5876,4,Emeka Egbuka,WR,162.2,9.54,,,,2,9,0,127,63,938,6,,,,,,,,5702,21,1068,13,1947,21,3755,19,
p3806,4,Chris Olave,WR,219.0,13.69,,,,1,-3,0,156,100,1163,9,,,,,,,,5630,22,1075,11,1603,28,4027,10,
p1983,4,Jakobi Meyers,WR,138.3,8.64,,,,5,13,0,110,75,835,3,,,,,,,,5982,11,1093,4,1956,20,4026,11,
p2863,4,Michael Pittman,WR,160.4,9.44,,,,0,0,0,111,80,784,7,,,,,,,,5388,25,988,28,1756,26,3632,22,
p2406,5,Terry McLaurin,WR,95.2,9.52,,,,0,0,0,60,38,582,3,,,,,,,,5619,23,990,27,2290,4,3329,24,
p4314,5,Wan'Dale Robinson,WR,171.9,10.74,,,,3,5,0,140,92,1014,4,,,,,,,,4830,30,1004,26,1589,30,3241,29,
p4920,5,Jordan Addison,WR,114.1,8.15,,,,2,81,1,79,42,610,3,,,,,,,,5049,28,954,30,1841,23,3208,30,
p6485,5,Antonio Williams,WR,0.0,0.0,,,,,,,,,,,,,,,,,,5619,23,990,27,2290,4,3329,24,
p6487,5,Malachi Fields,WR,0.0,0.0,,,,,,,,,,,,,,,,,,5898,15,1085,8,2195,5,3703,21,
p6488,5,Caleb Douglas,WR,0.0,0.0,,,,,,,,,,,,,,,,,,5366,26,949,31,2044,13,3322,25,
p6490,5,Zachariah Branch,WR,0.0,0.0,,,,,,,,,,,,,,,,,,5841,17,1048,17,2138,8,3703,20,
p6491,5,Ja'Kobi Lane,WR,0.0,0.0,,,,,,,,,,,,,,,,,,5940,13,974,29,2662,2,3278,28,
p6492,5,Chris Brazzell II,WR,0.0,0.0,,,,,,,,,,,,,,,,,,5281,27,1011,22,1977,19,3304,27,
p6493,5,Ted Hurst,WR,0.0,0.0,,,,,,,,,,,,,,,,,,5702,21,1068,13,1947,21,3755,19,
p6495,5,Zavion Thomas,WR,0.0,0.0,,,,,,,,,,,,,,,,,,6442,6,1103,2,2451,3,3991,12,
p6497,5,Chris Bell,WR,0.0,0.0,,,,,,,,,,,,,,,,,,5366,26,949,31,2044,13,3322,25,
p3240,5,Jaylen Waddle,WR,162.1,10.13,,,,2,28,0,100,64,910,6,,,,,,,,5949,12,1092,5,2018,16,3931,17,
p654,5,Mike Evans,WR,69.8,8.73,,,,0,0,0,62,30,368,3,,,,,,,,6135,8,1082,10,1817,24,4318,6,
p4206,6,Alec Pierce,WR,159.8,10.65,,,,0,0,0,84,47,1003,6,,,,,,,,6092,9,1018,20,2007,17,4085,8,
p4537,6,Michael Wilson,WR,181.6,10.68,,,,0,0,0,126,78,1006,7,,,,,,,,,,,,,,,,
p2869,6,Jauan Jennings,WR,143.8,9.59,,,,0,0,0,90,55,643,9,,,,,,,,5049,28,954,30,1841,23,3208,30,
p4214,6,Garrett Wilson,WR,81.5,11.64,,,,0,0,0,59,36,395,4,,,,,,,,4880,29,1010,24,2096,10,2784,32,
p4522,6,Quentin Johnston,WR,145.7,11.21,,,,2,7,0,84,51,735,8,,,,,,,,6020,10,1095,3,2067,12,3953,15,
p3017,6,Jerry Jeudy,WR,95.7,5.63,,,,1,5,0,106,50,602,2,,,,,,,,4801,31,1030,19,1649,27,3152,31,
p5659,6,Marvin Harrison Jr.,WR,105.3,8.78,,,,0,0,0,73,41,608,4,,,,,,,,,,,,,,,,
p3828,6,Khalil Shakir,WR,130.4,8.15,,,,1,5,0,95,72,719,4,,,,,,,,6695,3,1082,9,2714,1,3981,13,
p4248,6,Romeo Doubs,WR,135.9,8.49,,,,0,0,0,85,55,724,6,,,,,,,,6650,4,1044,18,2191,6,4459,4,
p4923,7,Josh Downs,WR,109.4,6.84,,,,2,-2,0,88,58,566,4,,,,,,,,6092,9,1018,20,2007,17,4085,8,
p4908,7,Tank Dell,WR,0.0,0.0,,,,,,,,,,,,,,,,,,5808,19,1088,6,1852,22,3956,14,
p5727,7,Rome Odunze,WR,124.1,10.34,,,,0,0,0,90,44,661,6,,,,,,,,6442,6,1103,2,2451,3,3991,12,
p5702,7,Xavier Worthy,WR,88.9,6.35,,,,11,87,0,73,42,532,1,,,,,,,,5759,20,1061,15,1812,25,3947,16,
p5158,7,Malik Nabers,WR,48.1,12.03,,,,0,0,0,35,18,271,2,,,,,,,,5898,15,1085,8,2195,5,3703,21,
p1465,7,Cooper Kupp,WR,91.8,5.74,,,,0,0,0,70,47,593,2,,,,,,,,6159,7,1015,21,2096,11,4063,9,
p4541,7,Tre Tucker,WR,133.2,7.84,,,,11,51,0,92,57,696,5,,,,,,,,4632,32,948,32,1317,32,3315,26,
p5877,8,Jayden Higgins,WR,109.0,6.41,,,,0,0,0,68,41,525,6,,,,,,,,5808,19,1088,6,1852,22,3956,14,
p4980,8,Rashee Rice,WR,121.6,15.2,,,,5,20,1,78,53,571,5,,,,,,,,5759,20,1061,15,1812,25,3947,16,
p1934,8,Calvin Ridley,WR,38.8,5.54,,,,0,0,0,36,17,303,0,,,,,,,,4830,30,1004,26,1589,30,3241,29,
p5008,8,Jayden Reed,WR,39.0,7.8,,,,3,28,0,22,19,207,1,,,,,,,,5882,16,1010,23,2037,15,3845,18,
p6421,8,Luther Burden III,WR,104.4,6.96,,,,6,37,0,60,47,652,2,,,,,,,,6442,6,1103,2,2451,3,3991,12,
p5677,8,Troy Franklin,WR,138.6,8.15,,,,5,12,0,104,65,709,6,,,,,,,,5949,12,1092,5,2018,16,3931,17,
p2871,8,Brandon Aiyuk,WR,0.0,0.0,,,,,,,,,,,,,,,,,,6135,8,1082,10,1817,24,4318,6,
p4321,8,Christian Watson,WR,114.9,11.49,,,,1,3,0,55,35,611,6,,,,,,,,5882,16,1010,23,2037,15,3845,18,
p4218,1,Trey McBride,TE,252.9,14.88,,,,0,0,0,169,126,1239,11,,,,,,,,,,,,,,,,
p5159,2,Brock Bowers,TE,142.2,11.85,,,,2,2,0,86,64,680,7,,,,,,,,4632,32,948,32,1317,32,3315,26,
p1207,2,George Kittle,TE,133.0,12.09,,,,1,-3,0,69,57,628,7,,,,,,,,6135,8,1082,10,1817,24,4318,6,
p449,2,Travis Kelce,TE,153.2,9.01,,,,1,1,0,108,76,851,5,,,,,,,,5759,20,1061,15,1812,25,3947,16,
p5875,2,Tyler Warren,TE,150.5,8.85,,,,6,8,1,112,76,817,4,,,,,,,,6092,9,1018,20,2007,17,4085,8,
p6362,2,Harold Fannin Jr.,TE,150.4,9.4,,,,7,13,1,107,72,731,6,,,,,,,,4801,31,1030,19,1649,27,3152,31,
p3554,2,Kyle Pitts,TE,166.8,9.81,,,,0,0,0,118,88,928,5,,,,,,,,5841,17,1048,17,2138,8,3703,20,
p5873,2,Colston Loveland,TE,136.1,8.51,,,,1,-2,0,82,58,713,6,,,,,,,,6442,6,1103,2,2451,3,3991,12,
p6471,2,Kenyon Sadiq,TE,0.0,0.0,,,,,,,,,,,,,,,,,,4880,29,1010,24,2096,10,2784,32,
p1148,3,Hunter Henry,TE,148.8,8.75,,,,0,0,0,87,60,768,7,,,,,,,,6650,4,1044,18,2191,6,4459,4,
p1863,3,Mark Andrews,TE,107.0,6.29,,,,10,48,1,70,48,422,5,,,,,,,,5940,13,974,29,2662,2,3278,28,
p4978,3,Sam LaPorta,TE,86.9,9.66,,,,0,0,0,49,40,489,3,,,,,,,,6608,5,1063,14,2041,14,4567,3,
p1664,3,Dallas Goedert,TE,155.1,10.34,,,,0,0,0,82,60,591,11,,,,,,,,5486,24,1010,25,1988,18,3498,23,
p4282,3,Jake Ferguson,TE,145.1,8.54,,,,1,1,0,102,82,600,8,,,,,,,,6871,1,1120,1,2136,9,4735,1,
p1695,3,Dalton Schultz,TE,136.7,8.04,,,,0,0,0,106,82,777,3,,,,,,,,5808,19,1088,6,1852,22,3956,14,
p2680,3,Juwan Johnson,TE,141.4,8.32,,,,0,0,0,102,77,889,3,,,,,,,,5630,22,1075,11,1603,28,4027,10,
p5936,4,Oronde Gadsden II,TE,106.9,7.13,,,,0,0,0,69,49,664,3,,,,,,,,6020,10,1095,3,2067,12,3953,15,
p4922,4,Tucker Kraft,TE,101.2,12.65,,,,1,3,0,44,32,489,6,,,,,,,,5882,16,1010,23,2037,15,3845,18,
p3481,4,Pat Freiermuth,TE,93.1,6.21,,,,0,0,0,54,41,486,4,,,,,,,,5388,25,988,28,1756,26,3632,22,
p6479,4,Eli Stowers,TE,0.0,0.0,,,,,,,,,,,,,,,,,,5486,24,1010,25,1988,18,3498,23,
p6480,4,Nate Boerkircher,TE,0.0,0.0,,,,,,,,,,,,,,,,,,5982,11,1093,4,1956,20,4026,11,
p6481,4,Marlin Klein,TE,0.0,0.0,,,,,,,,,,,,,,,,,,5808,19,1088,6,1852,22,3956,14,
p6482,4,Max Klare,TE,0.0,0.0,,,,,,,,,,,,,,,,,,6859,2,1086,7,2152,7,4707,2,
p1443,5,David Njoku,TE,69.8,6.35,,,,0,0,0,48,33,293,4,,,,,,,,6020,10,1095,3,2067,12,3953,15,
p4326,5,Cade Otton,TE,92.7,6.18,,,,0,0,0,81,59,572,1,,,,,,,,5702,21,1068,13,1947,21,3755,19,
p4873,5,Dalton Kincaid,TE,106.6,8.88,,,,0,0,0,49,39,571,5,,,,,,,,6695,3,1082,9,2714,1,3981,13,
p5605,5,AJ Barner,TE,121.3,7.14,,,,10,14,1,68,52,519,6,,,,,,,,6159,7,1015,21,2096,11,4063,9,
p2125,5,T.J. Hockenson,TE,87.3,5.82,,,,1,0,0,66,51,438,3,,,,,,,,5049,28,954,30,1841,23,3208,30,
p4241,5,Chig Okonkwo,TE,96.0,5.65,,,,0,0,0,79,56,560,2,,,,,,,,5619,23,990,27,2290,4,3329,24,
p6484,6,Sam Roush,TE,0.0,0.0,,,,,,,,,,,,,,,,,,6442,6,1103,2,2451,3,3991,12,
p6486,6,Oscar Delp,TE,0.0,0.0,,,,,,,,,,,,,,,,,,5630,22,1075,11,1603,28,4027,10,
p6494,6,Will Kacmarek,TE,0.0,0.0,,,,,,,,,,,,,,,,,,5366,26,949,31,2044,13,3322,25,
p6498,6,Eli Raridon,TE,0.0,0.0,,,,,,,,,,,,,,,,,,6650,4,1044,18,2191,6,4459,4,
p4355,1,Brandon Aubrey,K,180.6,10.62,,,,,,,,,,,36,42,47,,,,,,,,,,,,,
p668,1,Jason Myers,K,197.0,11.59,,,,,,,,,,,41,48,48,,,,,,,,,,,,,
p1005,1,Ka'imi Fairbairn,K,186.0,12.4,,,,,,,,,,,44,48,28,,,,,,,,,,,,,
p3791,1,Cameron Dicker,K,163.0,9.59,,,,,,,,,,,38,41,34,,,,,,,,,,,,,
p556,2,Chris Boswell,K,146.0,8.59,,,,,,,,,,,27,32,42,,,,,,,,,,,,,
p1897,2,p1897,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p5055,2,Jake Bates,K,146.0,8.59,,,,,,,,,,,27,34,54,,,,,,,,,,,,,
p2240,2,Chase McLaughlin,K,151.0,8.88,,,,,,,,,,,32,38,32,,,,,,,,,,,,,
p5230,2,Cam Little,K,161.0,9.47,,,,,,,,,,,30,34,50,,,,,,,,,,,,,
p5225,2,Will Reichard,K,154.0,9.06,,,,,,,,,,,33,35,31,,,,,,,,,,,,,
