key,manual_tier,rating,tier_note,name,pos,team,total,ppg,Bye,Age,PaYds,PaTD,INT,RuAtt,RuYds,RuTD,Tgt,Rec,ReYds,ReTD,Tgt%,Rush%,RZTgt,FGM,FGA,XPM,DefPA,DefSk,DefINT,DefTD,TmYds,TmYdsRk,TmPlays,TmPlaysRk,TmRush,TmRushRk,TmPass,TmPassRk,price
p00-0034351,5,84.62,,Dallas Goedert,TE,PHI,155.1,10.34,10,31,,,,,,,82,60,591,11,20.8,,15,,,,,,,,5486,24,1010,25,1988,18,3498,23,
p00-0033881,5,79.34,,Evan Engram,TE,DEN,77.8,4.86,10,32,,,,,,,76,50,461,1,13.7,,11,,,,,,,,5949,12,1092,5,2018,16,3931,17,
p00-0039498,5,79.0,,Harrison Mevis,K,LA,79.0,8.78,11,24,,,,,,,,,,,,,,12,13,39,,,,,,,,,,,,,
p00-0033090,5,76.66,,Hunter Henry,TE,NE,148.8,8.75,11,31,,,,,,,87,60,768,7,17.4,,22,,,,,,,,6650,4,1044,18,2191,6,4459,4,
p00-0036244,5,75.7,,Colby Parkinson,TE,LA,108.3,7.74,11,27,,,,,,,56,43,408,8,11.7,,22,,,,,,,,6859,2,1086,7,2152,7,4707,2,
p00-0038041,5,71.41,,Jake Ferguson,TE,DAL,145.1,8.54,14,27,,,,,,,102,82,600,8,16.5,,25,,,,,,,,6871,1,1120,1,2136,9,4735,1,
dTEN,5,65.25,,TEN,DST,TEN,58.0,3.41,9,,,,,,,,,,,,,,,,,,28.1,42,6,3,,,,,,,,,
dDAL,5,64.57,,DAL,DST,DAL,20.0,1.18,14,,,,,,,,,,,,,,,,,,30.1,34,6,2,,,,,,,,,
dTB,5,62.62,,TB,DST,TB,86.0,5.06,10,,,,,,,,,,,,,,,,,,24.2,37,13,2,,,,,,,,,
dCIN,5,61.49,,CIN,DST,CIN,38.0,2.24,6,,,,,,,,,,,,,,,,,,28.9,34,13,2,,,,,,,,,
dNYG,5,61.0,,NYG,DST,NYG,44.0,2.59,8,,,,,,,,,,,,,,,,,,25.8,38,9,1,,,,,,,,,
p00-0039576,5,40.8,,Spencer Shrader,K,IND,52.0,10.4,13,27,,,,,,,,,,,,,,13,14,14,,,,,,,,,,,,,
p00-0038152,5,32.8,,Lucas Havrisik,K,GB,23.0,7.67,11,26,,,,,,,,,,,,,,4,4,7,,,,,,,,,,,,,
p00-0033553,6,121.4,,James Conner,RB,ARI,29.3,9.77,14,31,,,,32,95,1,9,8,38,1,9.9,42.2,1,,,,,,,,5937,14,1074,12,1583,31,4354,5,
p00-0033119,6,117.51,,Jacoby Brissett,QB,ARI,233.4,16.67,14,33,3366,23,8,38,168,1,,,,,,,,,,,,,,,5937,14,1074,12,1583,31,4354,5,
p00-0037263,6,111.7,,Tyler Allgeier,RB,ARI,116.0,6.82,14,26,,,,143,514,8,16,14,96,0,3.2,27.8,1,,,,,,,,5937,14,1074,12,1583,31,4354,5,
p00-0037746,6,108.9,,Brian Robinson,RB,ATL,58.5,3.44,11,27,,,,92,400,2,12,8,25,0,2.1,18.3,4,,,,,,,,5841,17,1048,17,2138,8,3703,20,
